country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Spain,2/28/20,32,0,17,0,1
Spain,2/29/20,45,0,13,0,2
Spain,3/1/20,84,0,39,0,3
Spain,3/2/20,120,0,36,0,4
Spain,3/3/20,165,1,45,1,5
Spain,3/4/20,222,2,57,1,6
Spain,3/5/20,259,3,37,1,7
Spain,3/6/20,400,5,141,2,8
Spain,3/7/20,500,10,100,5,9
Spain,3/8/20,673,17,173,7,10
Spain,3/9/20,1073,28,400,11,11
Spain,3/10/20,1695,35,622,7,12
Spain,3/11/20,2277,54,582,19,13
Spain,3/12/20,2277,55,0,1,14
Spain,3/13/20,5232,133,2955,78,15
Spain,3/14/20,6391,195,1159,62,16
Spain,3/15/20,7798,289,1407,94,17
Spain,3/16/20,9942,342,2144,53,18
Spain,3/17/20,11748,533,1806,191,19
Spain,3/18/20,13910,623,2162,90,20
Spain,3/19/20,17963,830,4053,207,21
Spain,3/20/20,20410,1043,2447,213,22
Spain,3/21/20,25374,1375,4964,332,23
Spain,3/22/20,28768,1772,3394,397,24
Spain,3/23/20,35136,2311,6368,539,25
Spain,3/24/20,39885,2808,4749,497,26
Spain,3/25/20,49515,3647,9630,839,27
Spain,3/26/20,57786,4365,8271,718,28
Spain,3/27/20,65719,5138,7933,773,29
Spain,3/28/20,73235,5982,7516,844,30
Spain,3/29/20,80110,6803,6875,821,31
Spain,3/30/20,87956,7716,7846,913,32
Spain,3/31/20,95923,8464,7967,748,33
Spain,4/1/20,104118,9387,8195,923,34
Spain,4/2/20,112065,10348,7947,961,35
Spain,4/3/20,119199,11198,7134,850,36
Spain,4/4/20,126168,11947,6969,749,37
Spain,4/5/20,131646,12641,5478,694,38
Spain,4/6/20,136675,13341,5029,700,39
Spain,4/7/20,141942,14045,5267,704,40
Spain,4/8/20,148220,14792,6278,747,41
Spain,4/9/20,153222,15447,5002,655,42
Spain,4/10/20,158273,16081,5051,634,43
Spain,4/11/20,163027,16606,4754,525,44
Spain,4/12/20,166831,17209,3804,603,45
Spain,4/13/20,170099,17756,3268,547,46
Spain,4/14/20,172541,18056,2442,300,47
Spain,4/15/20,177644,18708,5103,652,48
Spain,4/16/20,184948,19315,7304,607,49
Spain,4/17/20,190839,20002,5891,687,50
Spain,4/18/20,191726,20043,887,41,51
Spain,4/19/20,198674,20453,6948,410,52
Spain,4/20/20,200210,20852,1536,399,53
Spain,4/21/20,204178,21282,3968,430,54
Spain,4/22/20,208389,21717,4211,435,55
Spain,4/23/20,213024,22157,4635,440,56
Spain,4/24/20,202990,22524,-10034,367,57
Spain,4/25/20,205905,22902,2915,378,58
Spain,4/26/20,207634,23190,1729,288,59
Spain,4/27/20,209465,23521,1831,331,60
Spain,4/28/20,210773,23822,1308,301,61
Spain,4/29/20,212917,24275,2144,453,62
Spain,4/30/20,213435,24543,518,268,63
Spain,5/1/20,215216,24543,1781,0,64
Spain,5/2/20,216582,25100,1366,557,65
Spain,5/3/20,217466,25264,884,164,66
Spain,5/4/20,218011,25428,545,164,67
Spain,5/5/20,219329,25613,1318,185,68
Spain,5/6/20,220325,25857,996,244,69
Spain,5/7/20,221447,26070,1122,213,70
Spain,5/8/20,222857,26299,1410,229,71
Spain,5/9/20,223578,26478,721,179,72
Spain,5/10/20,224350,26621,772,143,73
Spain,5/11/20,227436,26744,3086,123,74
Spain,5/12/20,228030,26920,594,176,75
Spain,5/13/20,228691,27104,661,184,76
Spain,5/14/20,229540,27321,849,217,77
Spain,5/15/20,230183,27459,643,138,78
Spain,5/16/20,230698,27563,515,104,79
Spain,5/17/20,230698,27563,0,0,80
Spain,5/18/20,231606,27709,908,146,81
Spain,5/19/20,232037,27778,431,69,82
Spain,5/20/20,232555,27888,518,110,83
Spain,5/21/20,233037,27940,482,52,84
Spain,5/22/20,234824,28628,1787,688,85
Spain,5/23/20,235290,28678,466,50,86
Spain,5/24/20,235772,28752,482,74,87
Spain,5/25/20,235400,26834,-372,-1918,88
Spain,5/26/20,236259,27117,859,283,89
Spain,5/27/20,236259,27117,0,0,90
Spain,5/28/20,237906,27119,1647,2,91
Spain,5/29/20,238564,27121,658,2,92
Spain,5/30/20,239228,27125,664,4,93
Spain,5/31/20,239479,27127,251,2,94
Spain,6/1/20,239638,27127,159,0,95
Spain,6/2/20,239932,27127,294,0,96
Spain,6/3/20,240326,27128,394,1,97
Spain,6/4/20,240660,27133,334,5,98
Spain,6/5/20,240978,27134,318,1,99
Spain,6/6/20,241310,27135,332,1,100
Spain,6/7/20,241550,27136,240,1,101
Spain,6/8/20,241717,27136,167,0,102
Spain,6/9/20,241966,27136,249,0,103
Spain,6/10/20,242280,27136,314,0,104
Spain,6/11/20,242707,27136,427,0,105
Spain,6/12/20,243209,27136,502,0,106
Spain,6/13/20,243605,27136,396,0,107
Spain,6/14/20,243928,27136,323,0,108
Spain,6/15/20,244109,27136,181,0,109
Spain,6/16/20,244328,27136,219,0,110
Spain,6/17/20,244683,27136,355,0,111
Spain,6/18/20,245268,27136,585,0,112
Spain,6/19/20,245575,28315,307,1179,113
Spain,6/20/20,245938,28322,363,7,114
Spain,6/21/20,246272,28323,334,1,115
Spain,6/22/20,246504,28324,232,1,116
Spain,6/23/20,246752,28325,248,1,117
Spain,6/24/20,247086,28327,334,2,118
Spain,6/25/20,247486,28330,400,3,119
Spain,6/26/20,247905,28338,419,8,120
Spain,6/27/20,248469,28341,564,3,121
Spain,6/28/20,248770,28343,301,2,122
Spain,6/29/20,248970,28346,200,3,123
Spain,6/30/20,249271,28355,301,9,124
Spain,7/1/20,249659,28364,388,9,125
Spain,7/2/20,250103,28368,444,4,126
Spain,7/3/20,250545,28385,442,17,127
Spain,7/4/20,250545,28385,0,0,128
Spain,7/5/20,250545,28385,0,0,129
Spain,7/6/20,251789,28388,1244,3,130
Spain,7/7/20,252130,28392,341,4,131
Spain,7/8/20,252513,28396,383,4,132
Spain,7/9/20,253056,28401,543,5,133
Spain,7/10/20,253908,28403,852,2,134
Spain,7/11/20,253908,28403,0,0,135
Spain,7/12/20,253908,28403,0,0,136
Spain,7/13/20,255953,28406,2045,3,137
Spain,7/14/20,256619,28409,666,3,138
Spain,7/15/20,257494,28413,875,4,139
Spain,7/16/20,258855,28416,1361,3,140
Spain,7/17/20,260255,28420,1400,4,141
Spain,7/18/20,260255,28420,0,0,142
Spain,7/19/20,260255,28420,0,0,143
Spain,7/20/20,264836,28422,4581,2,144
Spain,7/21/20,266194,28424,1358,2,145
Spain,7/22/20,267551,28426,1357,2,146
Spain,7/23/20,270166,28429,2615,3,147
Spain,7/24/20,272421,28432,2255,3,148
Spain,7/25/20,272421,28432,0,0,149
Spain,7/26/20,272421,28432,0,0,150
Spain,7/27/20,278782,28434,6361,2,151
Spain,7/28/20,280610,28436,1828,2,152
Spain,7/29/20,282641,28441,2031,5,153
Spain,7/30/20,285430,28443,2789,2,154
Spain,7/31/20,288522,28445,3092,2,155
Spain,8/1/20,288522,28445,0,0,156
Spain,8/2/20,288522,28445,0,0,157
Spain,8/3/20,297054,28472,8532,27,158
Spain,8/4/20,302814,28498,5760,26,159
Spain,8/5/20,305767,28499,2953,1,160
Spain,8/6/20,309855,28500,4088,1,161
Spain,8/7/20,314362,28503,4507,3,162
Spain,8/8/20,314362,28503,0,0,163
Spain,8/9/20,314362,28503,0,0,164
