country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Serbia,3/13/20,35,0,16,0,1
Serbia,3/14/20,46,0,11,0,2
Serbia,3/15/20,48,0,2,0,3
Serbia,3/16/20,55,0,7,0,4
Serbia,3/17/20,65,0,10,0,5
Serbia,3/18/20,83,0,18,0,6
Serbia,3/19/20,103,0,20,0,7
Serbia,3/20/20,135,1,32,1,8
Serbia,3/21/20,171,1,36,0,9
Serbia,3/22/20,222,2,51,1,10
Serbia,3/23/20,249,3,27,1,11
Serbia,3/24/20,303,3,54,0,12
Serbia,3/25/20,384,4,81,1,13
Serbia,3/26/20,384,1,0,-3,14
Serbia,3/27/20,457,1,73,0,15
Serbia,3/28/20,659,10,202,9,16
Serbia,3/29/20,741,13,82,3,17
Serbia,3/30/20,785,16,44,3,18
Serbia,3/31/20,900,16,115,0,19
Serbia,4/1/20,1060,28,160,12,20
Serbia,4/2/20,1171,31,111,3,21
Serbia,4/3/20,1476,39,305,8,22
Serbia,4/4/20,1624,44,148,5,23
Serbia,4/5/20,1908,51,284,7,24
Serbia,4/6/20,2200,58,292,7,25
Serbia,4/7/20,2447,61,247,3,26
Serbia,4/8/20,2666,65,219,4,27
Serbia,4/9/20,2867,66,201,1,28
Serbia,4/10/20,3105,71,238,5,29
Serbia,4/11/20,3380,74,275,3,30
Serbia,4/12/20,3630,80,250,6,31
Serbia,4/13/20,4054,85,424,5,32
Serbia,4/14/20,4465,94,411,9,33
Serbia,4/15/20,4873,99,408,5,34
Serbia,4/16/20,5318,103,445,4,35
Serbia,4/17/20,5690,110,372,7,36
Serbia,4/18/20,5994,117,304,7,37
Serbia,4/19/20,6318,122,324,5,38
Serbia,4/20/20,6630,125,312,3,39
Serbia,4/21/20,6890,130,260,5,40
Serbia,4/22/20,7144,134,254,4,41
Serbia,4/23/20,7276,139,132,5,42
Serbia,4/24/20,7483,144,207,5,43
Serbia,4/25/20,7779,151,296,7,44
Serbia,4/26/20,8042,156,263,5,45
Serbia,4/27/20,8275,162,233,6,46
Serbia,4/28/20,8497,168,222,6,47
Serbia,4/29/20,8724,173,227,5,48
Serbia,4/30/20,9009,179,285,6,49
Serbia,5/1/20,9009,179,0,0,50
Serbia,5/2/20,9362,189,353,10,51
Serbia,5/3/20,9464,193,102,4,52
Serbia,5/4/20,9557,197,93,4,53
Serbia,5/5/20,9677,200,120,3,54
Serbia,5/6/20,9791,203,114,3,55
Serbia,5/7/20,9848,206,57,3,56
Serbia,5/8/20,9943,209,95,3,57
Serbia,5/9/20,10032,215,89,6,58
Serbia,5/10/20,10032,215,0,0,59
Serbia,5/11/20,10176,218,144,3,60
Serbia,5/12/20,10243,220,67,2,61
Serbia,5/13/20,10295,222,52,2,62
Serbia,5/14/20,10374,224,79,2,63
Serbia,5/15/20,10438,225,64,1,64
Serbia,5/16/20,10496,228,58,3,65
Serbia,5/17/20,10610,230,114,2,66
Serbia,5/18/20,10699,231,89,1,67
Serbia,5/19/20,10733,234,34,3,68
Serbia,5/20/20,10833,235,100,1,69
Serbia,5/21/20,10919,237,86,2,70
Serbia,5/22/20,11024,237,105,0,71
Serbia,5/23/20,11092,238,68,1,72
Serbia,5/24/20,11159,238,67,0,73
Serbia,5/25/20,11193,239,34,1,74
Serbia,5/26/20,11227,239,34,0,75
Serbia,5/27/20,11275,240,48,1,76
Serbia,5/28/20,11300,241,25,1,77
Serbia,5/29/20,11354,242,54,1,78
Serbia,5/30/20,11381,242,27,0,79
Serbia,5/31/20,11412,243,31,1,80
Serbia,6/1/20,11430,244,18,1,81
Serbia,6/2/20,11454,245,24,1,82
Serbia,6/3/20,11523,245,69,0,83
Serbia,6/4/20,11571,246,48,1,84
Serbia,6/5/20,11667,247,96,1,85
Serbia,6/6/20,11741,248,74,1,86
Serbia,6/7/20,11823,249,82,1,87
Serbia,6/8/20,11896,250,73,1,88
Serbia,6/9/20,11965,250,69,0,89
Serbia,6/10/20,12031,251,66,1,90
Serbia,6/11/20,12102,252,71,1,91
Serbia,6/12/20,12175,252,73,0,92
Serbia,6/13/20,12251,253,76,1,93
Serbia,6/14/20,12310,254,59,1,94
Serbia,6/15/20,12367,255,57,1,95
Serbia,6/16/20,12426,256,59,1,96
Serbia,6/17/20,12522,257,96,1,97
Serbia,6/18/20,12616,258,94,1,98
Serbia,6/19/20,12709,259,93,1,99
Serbia,6/20/20,12803,260,94,1,100
Serbia,6/21/20,12894,261,91,1,101
Serbia,6/22/20,12990,262,96,1,102
Serbia,6/23/20,13092,263,102,1,103
Serbia,6/24/20,13235,263,143,0,104
Serbia,6/25/20,13372,264,137,1,105
Serbia,6/26/20,13565,265,193,1,106
Serbia,6/27/20,13792,267,227,2,107
Serbia,6/28/20,14046,270,254,3,108
Serbia,6/29/20,14288,274,242,4,109
Serbia,6/30/20,14564,277,276,3,110
Serbia,7/1/20,14836,281,272,4,111
Serbia,7/2/20,15195,287,359,6,112
Serbia,7/3/20,15504,298,309,11,113
Serbia,7/4/20,15829,306,325,8,114
Serbia,7/5/20,16131,311,302,5,115
Serbia,7/6/20,16420,317,289,6,116
Serbia,7/7/20,16719,330,299,13,117
Serbia,7/8/20,17076,341,357,11,118
Serbia,7/9/20,17342,352,266,11,119
Serbia,7/10/20,17728,370,386,18,120
Serbia,7/11/20,18073,382,345,12,121
Serbia,7/12/20,18360,393,287,11,122
Serbia,7/13/20,18639,405,279,12,123
Serbia,7/14/20,18983,418,344,13,124
Serbia,7/15/20,19334,429,351,11,125
Serbia,7/16/20,19717,442,383,13,126
Serbia,7/17/20,20109,452,392,10,127
Serbia,7/18/20,20498,461,389,9,128
Serbia,7/19/20,20894,472,396,11,129
Serbia,7/20/20,21253,482,359,10,130
Serbia,7/21/20,21605,491,352,9,131
Serbia,7/22/20,22031,499,426,8,132
Serbia,7/23/20,22443,508,412,9,133
Serbia,7/24/20,22852,518,409,10,134
Serbia,7/25/20,22852,518,0,0,135
Serbia,7/26/20,23730,534,878,16,136
Serbia,7/27/20,24141,543,411,9,137
Serbia,7/28/20,24520,551,379,8,138
Serbia,7/29/20,24892,558,372,7,139
Serbia,7/30/20,25213,565,321,7,140
Serbia,7/31/20,25552,573,339,8,141
Serbia,8/1/20,25882,582,330,9,142
Serbia,8/2/20,26193,590,311,8,143
Serbia,8/3/20,26451,598,258,8,144
Serbia,8/4/20,26738,605,287,7,145
Serbia,8/5/20,27033,614,295,9,146
Serbia,8/6/20,27332,621,299,7,147
Serbia,8/7/20,27608,626,276,5,148
Serbia,8/8/20,27863,632,255,6,149
Serbia,8/9/20,28099,641,236,9,150
Serbia,8/10/20,28262,646,163,5,151
Serbia,8/11/20,28497,652,235,6,152
Serbia,8/12/20,28751,658,254,6,153
Serbia,8/13/20,28998,661,247,3,154
Serbia,8/14/20,29233,665,235,4,155
Serbia,8/15/20,29471,670,238,5,156
Serbia,8/16/20,29682,674,211,4,157
Serbia,8/17/20,29782,677,100,3,158
Serbia,8/18/20,29890,681,108,4,159
Serbia,8/19/20,30048,684,158,3,160
Serbia,8/20/20,30209,689,161,5,161
Serbia,8/21/20,30378,692,169,3,162
Serbia,8/22/20,30548,695,170,3,163
Serbia,8/23/20,30657,698,109,3,164
Serbia,8/24/20,30714,701,57,3,165
Serbia,8/25/20,30820,705,106,4,166
Serbia,8/26/20,30974,707,154,2,167
Serbia,8/27/20,31099,707,125,0,168
Serbia,8/28/20,31207,709,108,2,169
Serbia,8/29/20,31282,710,75,1,170
Serbia,8/30/20,31365,711,83,1,171
Serbia,8/31/20,31406,713,41,2,172
Serbia,9/1/20,31482,715,76,2,173
Serbia,9/2/20,31581,716,99,1,174
Serbia,9/3/20,31676,718,95,2,175
Serbia,9/4/20,31772,721,96,3,176
Serbia,9/5/20,31849,723,77,2,177
Serbia,9/6/20,31905,724,56,1,178
Serbia,9/7/20,31941,725,36,1,179
Serbia,9/8/20,31994,727,53,2,180
Serbia,9/9/20,32078,728,84,1,181
Serbia,9/10/20,32136,729,58,1,182
Serbia,9/11/20,32228,730,92,1,183
Serbia,9/12/20,32300,731,72,1,184
Serbia,9/13/20,32408,733,108,2,185
Serbia,9/14/20,32437,733,29,0,186
Serbia,9/15/20,32511,735,74,2,187
Serbia,9/16/20,32613,736,102,1,188
Serbia,9/17/20,32695,738,82,2,189
Serbia,9/18/20,32757,739,62,1,190
Serbia,9/19/20,32840,740,83,1,191
Serbia,9/20/20,32908,741,68,1,192
Serbia,9/21/20,32938,743,30,2,193
Serbia,9/22/20,32999,743,61,0,194
Serbia,9/23/20,33080,744,81,1,195
Serbia,9/24/20,33163,745,83,1,196
Serbia,9/25/20,33238,746,75,1,197
Serbia,9/26/20,33312,746,74,0,198
Serbia,9/27/20,33384,747,72,1,199
Serbia,9/28/20,33414,748,30,1,200
Serbia,9/29/20,33479,749,65,1,201
Serbia,9/30/20,33551,749,72,0,202
Serbia,10/1/20,33662,750,111,1,203
Serbia,10/2/20,33735,751,73,1,204
Serbia,10/3/20,33842,753,107,2,205
Serbia,10/4/20,33901,754,59,1,206
Serbia,10/5/20,33952,756,51,2,207
Serbia,10/6/20,34072,757,120,1,208
Serbia,10/7/20,34193,758,121,1,209
Serbia,10/8/20,34344,760,151,2,210
Serbia,10/9/20,34517,761,173,1,211
Serbia,10/10/20,34685,762,168,1,212
Serbia,10/11/20,34787,763,102,1,213
Serbia,10/12/20,34854,765,67,2,214
Serbia,10/13/20,35006,767,152,2,215
Serbia,10/14/20,35251,768,245,1,216
Serbia,10/15/20,35454,770,203,2,217
Serbia,10/16/20,35719,772,265,2,218
Serbia,10/17/20,35946,774,227,2,219
Serbia,10/18/20,36160,776,214,2,220
Serbia,10/19/20,36282,778,122,2,221
Serbia,10/20/20,36608,780,326,2,222
Serbia,10/21/20,37120,780,512,0,223
Serbia,10/22/20,37536,783,416,3,224
Serbia,10/23/20,38115,786,579,3,225
Serbia,10/24/20,38872,789,757,3,226
Serbia,10/25/20,39486,792,614,3,227
Serbia,10/26/20,39827,793,341,1,228
Serbia,10/27/20,40880,798,1053,5,229
Serbia,10/28/20,42208,803,1328,5,230
Serbia,10/29/20,43592,809,1384,6,231
Serbia,10/30/20,45137,814,1545,5,232
Serbia,10/31/20,46954,820,1817,6,233
Serbia,11/1/20,48403,826,1449,6,234
Serbia,11/2/20,49205,833,802,7,235
Serbia,11/3/20,51083,844,1878,11,236
Serbia,11/4/20,53495,850,2412,6,237
Serbia,11/5/20,55676,861,2181,11,238
Serbia,11/6/20,57958,871,2282,10,239
Serbia,11/7/20,60635,880,2677,9,240
Serbia,11/8/20,62747,890,2112,10,241
Serbia,11/9/20,64065,901,1318,11,242
Serbia,11/10/20,66888,915,2823,14,243
Serbia,11/11/20,70424,936,3536,21,244
Serbia,11/12/20,73765,955,3341,19,245
Serbia,11/13/20,77264,972,3499,17,246
Serbia,11/14/20,81086,989,3822,17,247
Serbia,11/15/20,84568,1009,3482,20,248
Serbia,11/16/20,87381,1030,2813,21,249
Serbia,11/17/20,92375,1054,4994,24,250
Serbia,11/18/20,97988,1081,5613,27,251
Serbia,11/19/20,104097,1110,6109,29,252
Serbia,11/20/20,110351,1140,6254,30,253
Serbia,11/21/20,116125,1168,5774,28,254
Serbia,11/22/20,121120,1199,4995,31,255
Serbia,11/23/20,126187,1237,5067,38,256
Serbia,11/24/20,133029,1274,6842,37,257
Serbia,11/25/20,140608,1315,7579,41,258
Serbia,11/26/20,148214,1366,7606,51,259
Serbia,11/27/20,155994,1423,7780,57,260
Serbia,11/28/20,163035,1484,7041,61,261
Serbia,11/29/20,169214,1549,6179,65,262
Serbia,11/30/20,175438,1604,6224,55,263
Serbia,12/1/20,183437,1652,7999,48,264
Serbia,12/2/20,191356,1704,7919,52,265
Serbia,12/3/20,199158,1765,7802,61,266
Serbia,12/4/20,206940,1834,7782,69,267
Serbia,12/5/20,213843,1891,6903,57,268
Serbia,12/6/20,219652,1949,5809,58,269
Serbia,12/7/20,226209,2005,6557,56,270
