country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Armenia,3/15/20,26,0,8,0,1
Armenia,3/16/20,52,0,26,0,2
Armenia,3/17/20,78,0,26,0,3
Armenia,3/18/20,84,0,6,0,4
Armenia,3/19/20,115,0,31,0,5
Armenia,3/20/20,136,0,21,0,6
Armenia,3/21/20,160,0,24,0,7
Armenia,3/22/20,194,0,34,0,8
Armenia,3/23/20,235,0,41,0,9
Armenia,3/24/20,249,0,14,0,10
Armenia,3/25/20,265,0,16,0,11
Armenia,3/26/20,290,1,25,1,12
Armenia,3/27/20,329,1,39,0,13
Armenia,3/28/20,407,1,78,0,14
Armenia,3/29/20,424,3,17,2,15
Armenia,3/30/20,482,3,58,0,16
Armenia,3/31/20,532,3,50,0,17
Armenia,4/1/20,571,4,39,1,18
Armenia,4/2/20,663,7,92,3,19
Armenia,4/3/20,736,7,73,0,20
Armenia,4/4/20,770,7,34,0,21
Armenia,4/5/20,822,7,52,0,22
Armenia,4/6/20,833,8,11,1,23
Armenia,4/7/20,853,8,20,0,24
Armenia,4/8/20,881,9,28,1,25
Armenia,4/9/20,921,10,40,1,26
Armenia,4/10/20,937,12,16,2,27
Armenia,4/11/20,967,13,30,1,28
Armenia,4/12/20,1013,13,46,0,29
Armenia,4/13/20,1039,14,26,1,30
Armenia,4/14/20,1067,16,28,2,31
Armenia,4/15/20,1111,17,44,1,32
Armenia,4/16/20,1159,18,48,1,33
Armenia,4/17/20,1201,19,42,1,34
Armenia,4/18/20,1248,20,47,1,35
Armenia,4/19/20,1291,20,43,0,36
Armenia,4/20/20,1339,22,48,2,37
Armenia,4/21/20,1401,24,62,2,38
Armenia,4/22/20,1473,24,72,0,39
Armenia,4/23/20,1523,24,50,0,40
Armenia,4/24/20,1596,27,73,3,41
Armenia,4/25/20,1677,28,81,1,42
Armenia,4/26/20,1746,28,69,0,43
Armenia,4/27/20,1808,29,62,1,44
Armenia,4/28/20,1867,30,59,1,45
Armenia,4/29/20,1932,30,65,0,46
Armenia,4/30/20,2066,32,134,2,47
Armenia,5/1/20,2148,33,82,1,48
Armenia,5/2/20,2273,33,125,0,49
Armenia,5/3/20,2386,35,113,2,50
Armenia,5/4/20,2507,39,121,4,51
Armenia,5/5/20,2619,40,112,1,52
Armenia,5/6/20,2782,40,163,0,53
Armenia,5/7/20,2884,42,102,2,54
Armenia,5/8/20,3029,43,145,1,55
Armenia,5/9/20,3175,44,146,1,56
Armenia,5/10/20,3313,45,138,1,57
Armenia,5/11/20,3392,46,79,1,58
Armenia,5/12/20,3538,47,146,1,59
Armenia,5/13/20,3718,48,180,1,60
Armenia,5/14/20,3860,49,142,1,61
Armenia,5/15/20,4044,52,184,3,62
Armenia,5/16/20,4283,55,239,3,63
Armenia,5/17/20,4472,60,189,5,64
Armenia,5/18/20,4823,61,351,1,65
Armenia,5/19/20,5041,64,218,3,66
Armenia,5/20/20,5271,67,230,3,67
Armenia,5/21/20,5606,70,335,3,68
Armenia,5/22/20,5928,74,322,4,69
Armenia,5/23/20,6302,77,374,3,70
Armenia,5/24/20,6661,81,359,4,71
Armenia,5/25/20,7113,87,452,6,72
Armenia,5/26/20,7402,91,289,4,73
Armenia,5/27/20,7774,98,372,7,74
Armenia,5/28/20,8216,113,442,15,75
Armenia,5/29/20,8676,120,460,7,76
Armenia,5/30/20,8927,127,251,7,77
Armenia,5/31/20,9282,131,355,4,78
Armenia,6/1/20,9492,139,210,8,79
Armenia,6/2/20,10009,158,517,19,80
Armenia,6/3/20,10524,170,515,12,81
Armenia,6/4/20,11221,176,697,6,82
Armenia,6/5/20,11817,183,596,7,83
Armenia,6/6/20,12364,190,547,7,84
Armenia,6/7/20,13130,200,766,10,85
Armenia,6/8/20,13325,211,195,11,86
Armenia,6/9/20,13675,217,350,6,87
Armenia,6/10/20,14103,227,428,10,88
Armenia,6/11/20,14669,245,566,18,89
Armenia,6/12/20,15281,258,612,13,90
Armenia,6/13/20,16004,264,723,6,91
Armenia,6/14/20,16667,269,663,5,92
Armenia,6/15/20,17064,285,397,16,93
Armenia,6/16/20,17489,293,425,8,94
Armenia,6/17/20,18033,302,544,9,95
Armenia,6/18/20,18698,309,665,7,96
Armenia,6/19/20,19157,319,459,10,97
Armenia,6/20/20,19708,332,551,13,98
Armenia,6/21/20,20268,350,560,18,99
Armenia,6/22/20,20588,360,320,10,100
Armenia,6/23/20,21006,372,418,12,101
Armenia,6/24/20,21717,386,711,14,102
Armenia,6/25/20,22488,397,771,11,103
