country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Senegal,3/15/20,24,0,14,0,1
Senegal,3/16/20,24,0,0,0,2
Senegal,3/17/20,26,0,2,0,3
Senegal,3/18/20,31,0,5,0,4
Senegal,3/19/20,31,0,0,0,5
Senegal,3/20/20,38,0,7,0,6
Senegal,3/21/20,47,0,9,0,7
Senegal,3/22/20,67,0,20,0,8
Senegal,3/23/20,79,0,12,0,9
Senegal,3/24/20,86,0,7,0,10
Senegal,3/25/20,99,0,13,0,11
Senegal,3/26/20,105,0,6,0,12
Senegal,3/27/20,119,0,14,0,13
Senegal,3/28/20,130,0,11,0,14
Senegal,3/29/20,142,0,12,0,15
Senegal,3/30/20,162,0,20,0,16
Senegal,3/31/20,175,0,13,0,17
Senegal,4/1/20,190,1,15,1,18
Senegal,4/2/20,195,1,5,0,19
Senegal,4/3/20,207,1,12,0,20
Senegal,4/4/20,219,2,12,1,21
Senegal,4/5/20,222,2,3,0,22
Senegal,4/6/20,226,2,4,0,23
Senegal,4/7/20,237,2,11,0,24
Senegal,4/8/20,244,2,7,0,25
Senegal,4/9/20,250,2,6,0,26
Senegal,4/10/20,265,2,15,0,27
Senegal,4/11/20,278,2,13,0,28
Senegal,4/12/20,280,2,2,0,29
Senegal,4/13/20,291,2,11,0,30
Senegal,4/14/20,299,2,8,0,31
Senegal,4/15/20,314,2,15,0,32
Senegal,4/16/20,335,2,21,0,33
Senegal,4/17/20,342,2,7,0,34
Senegal,4/18/20,350,3,8,1,35
Senegal,4/19/20,367,3,17,0,36
Senegal,4/20/20,377,5,10,2,37
Senegal,4/21/20,412,5,35,0,38
Senegal,4/22/20,442,6,30,1,39
Senegal,4/23/20,479,6,37,0,40
Senegal,4/24/20,545,7,66,1,41
Senegal,4/25/20,614,7,69,0,42
Senegal,4/26/20,671,9,57,2,43
Senegal,4/27/20,736,9,65,0,44
Senegal,4/28/20,823,9,87,0,45
Senegal,4/29/20,882,9,59,0,46
Senegal,4/30/20,933,9,51,0,47
Senegal,5/1/20,1024,9,91,0,48
Senegal,5/2/20,1115,9,91,0,49
Senegal,5/3/20,1182,9,67,0,50
Senegal,5/4/20,1271,10,89,1,51
Senegal,5/5/20,1329,11,58,1,52
Senegal,5/6/20,1433,12,104,1,53
Senegal,5/7/20,1492,13,59,1,54
Senegal,5/8/20,1551,13,59,0,55
Senegal,5/9/20,1634,17,83,4,56
Senegal,5/10/20,1709,19,75,2,57
Senegal,5/11/20,1886,19,177,0,58
Senegal,5/12/20,1995,19,109,0,59
Senegal,5/13/20,2105,21,110,2,60
Senegal,5/14/20,2189,23,84,2,61
Senegal,5/15/20,2310,25,121,2,62
Senegal,5/16/20,2429,25,119,0,63
Senegal,5/17/20,2480,25,51,0,64
Senegal,5/18/20,2544,26,64,1,65
Senegal,5/19/20,2617,30,73,4,66
Senegal,5/20/20,2714,30,97,0,67
Senegal,5/21/20,2812,33,98,3,68
Senegal,5/22/20,2909,33,97,0,69
Senegal,5/23/20,2976,34,67,1,70
Senegal,5/24/20,3047,35,71,1,71
Senegal,5/25/20,3130,35,83,0,72
Senegal,5/26/20,3161,36,31,1,73
Senegal,5/27/20,3253,38,92,2,74
Senegal,5/28/20,3348,39,95,1,75
Senegal,5/29/20,3429,41,81,2,76
Senegal,5/30/20,3535,42,106,1,77
Senegal,5/31/20,3645,42,110,0,78
Senegal,6/1/20,3739,42,94,0,79
Senegal,6/2/20,3836,43,97,1,80
Senegal,6/3/20,3932,45,96,2,81
Senegal,6/4/20,4021,45,89,0,82
Senegal,6/5/20,4155,45,134,0,83
Senegal,6/6/20,4249,47,94,2,84
Senegal,6/7/20,4328,49,79,2,85
Senegal,6/8/20,4427,49,99,0,86
Senegal,6/9/20,4516,52,89,3,87
Senegal,6/10/20,4640,52,124,0,88
Senegal,6/11/20,4759,55,119,3,89
Senegal,6/12/20,4851,56,92,1,90
Senegal,6/13/20,4996,60,145,4,91
Senegal,6/14/20,5090,60,94,0,92
Senegal,6/15/20,5173,64,83,4,93
Senegal,6/16/20,5247,70,74,6,94
Senegal,6/17/20,5369,73,122,3,95
Senegal,6/18/20,5475,76,106,3,96
Senegal,6/19/20,5639,79,164,3,97
Senegal,6/20/20,5783,82,144,3,98
Senegal,6/21/20,5888,84,105,2,99
Senegal,6/22/20,5970,86,82,2,100
Senegal,6/23/20,6034,89,64,3,101
Senegal,6/24/20,6129,93,95,4,102
Senegal,6/25/20,6233,94,104,1,103
