state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Idaho,3/19/20,23,0,14,0,1
Idaho,3/20/20,36,0,13,0,2
Idaho,3/21/20,42,0,6,0,3
Idaho,3/22/20,42,0,0,0,4
Idaho,3/23/20,68,0,26,0,5
Idaho,3/24/20,81,0,13,0,6
Idaho,3/25/20,91,0,10,0,7
Idaho,3/26/20,146,3,55,3,8
Idaho,3/27/20,205,3,59,0,9
Idaho,3/28/20,234,4,29,1,10
Idaho,3/29/20,281,5,47,1,11
Idaho,3/30/20,340,6,59,1,12
Idaho,3/31/20,515,8,175,2,13
Idaho,4/1/20,566,9,51,1,14
Idaho,4/2/20,776,9,210,0,15
Idaho,4/3/20,891,9,115,0,16
Idaho,4/4/20,1022,10,131,1,17
Idaho,4/5/20,1078,10,56,0,18
Idaho,4/6/20,1101,10,23,0,19
Idaho,4/7/20,1170,13,69,3,20
Idaho,4/8/20,1210,15,40,2,21
Idaho,4/9/20,1232,18,22,3,22
Idaho,4/10/20,1354,24,122,6,23
Idaho,4/11/20,1396,25,42,1,24
Idaho,4/12/20,1407,27,11,2,25
Idaho,4/13/20,1426,27,19,0,26
Idaho,4/14/20,1464,33,38,6,27
Idaho,4/15/20,1473,39,9,6,28
Idaho,4/16/20,1587,41,114,2,29
Idaho,4/17/20,1609,41,22,0,30
Idaho,4/18/20,1655,43,46,2,31
Idaho,4/19/20,1668,44,13,1,32
Idaho,4/20/20,1672,45,4,1,33
Idaho,4/21/20,1736,48,64,3,34
Idaho,4/22/20,1766,51,30,3,35
Idaho,4/23/20,1836,54,70,3,36
Idaho,4/24/20,1870,54,34,0,37
Idaho,4/25/20,1887,56,17,2,38
Idaho,4/26/20,1897,56,10,0,39
Idaho,4/27/20,1897,56,0,0,40
Idaho,4/28/20,1952,60,55,4,41
Idaho,4/29/20,1952,60,0,0,42
Idaho,4/30/20,1984,60,32,0,43
Idaho,5/1/20,2015,63,31,3,44
Idaho,5/2/20,2061,64,46,1,45
Idaho,5/3/20,2061,64,0,0,46
Idaho,5/4/20,2106,64,45,0,47
Idaho,5/5/20,2127,65,21,1,48
Idaho,5/6/20,2158,66,31,1,49
Idaho,5/7/20,2178,67,20,1,50
Idaho,5/8/20,2178,67,0,0,51
Idaho,5/9/20,2205,67,27,0,52
Idaho,5/10/20,2230,67,25,0,53
Idaho,5/11/20,2260,70,30,3,54
Idaho,5/12/20,2293,69,33,-1,55
Idaho,5/13/20,2293,69,0,0,56
Idaho,5/14/20,2351,72,58,3,57
Idaho,5/15/20,2351,72,0,0,58
Idaho,5/16/20,2419,73,68,1,59
Idaho,5/17/20,2419,73,0,0,60
Idaho,5/18/20,2455,74,36,1,61
Idaho,5/19/20,2455,74,0,0,62
Idaho,5/20/20,2506,77,51,3,63
Idaho,5/21/20,2506,77,0,0,64
Idaho,5/22/20,2595,79,89,2,65
Idaho,5/23/20,2595,79,0,0,66
Idaho,5/24/20,2626,79,31,0,67
Idaho,5/25/20,2626,79,0,0,68
Idaho,5/26/20,2626,79,0,0,69
Idaho,5/27/20,2699,81,73,2,70
Idaho,5/28/20,2770,82,71,1,71
Idaho,5/29/20,2770,82,0,0,72
Idaho,5/30/20,2803,82,33,0,73
Idaho,5/31/20,2839,82,36,0,74
Idaho,6/1/20,2839,82,0,0,75
Idaho,6/2/20,2933,83,94,1,76
Idaho,6/3/20,2933,83,0,0,77
Idaho,6/4/20,2990,83,57,0,78
Idaho,6/5/20,3111,83,121,0,79
Idaho,6/6/20,3139,83,28,0,80
Idaho,6/7/20,3139,83,0,0,81
Idaho,6/8/20,3189,83,50,0,82
Idaho,6/9/20,3221,85,32,2,83
Idaho,6/10/20,3260,85,39,0,84
Idaho,6/11/20,3260,85,0,0,85
