country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Japan,2/1/20,20,0,5,0,1
Japan,2/2/20,20,0,0,0,2
Japan,2/3/20,20,0,0,0,3
Japan,2/4/20,22,0,2,0,4
Japan,2/5/20,22,0,0,0,5
Japan,2/6/20,22,0,0,0,6
Japan,2/7/20,25,0,3,0,7
Japan,2/8/20,25,0,0,0,8
Japan,2/9/20,26,0,1,0,9
Japan,2/10/20,26,0,0,0,10
Japan,2/11/20,26,0,0,0,11
Japan,2/12/20,28,0,2,0,12
Japan,2/13/20,28,1,0,1,13
Japan,2/14/20,29,1,1,0,14
Japan,2/15/20,43,1,14,0,15
Japan,2/16/20,59,1,16,0,16
Japan,2/17/20,66,1,7,0,17
Japan,2/18/20,74,1,8,0,18
Japan,2/19/20,84,1,10,0,19
Japan,2/20/20,94,1,10,0,20
Japan,2/21/20,105,1,11,0,21
Japan,2/22/20,122,1,17,0,22
Japan,2/23/20,147,1,25,0,23
Japan,2/24/20,159,1,12,0,24
Japan,2/25/20,170,1,11,0,25
Japan,2/26/20,189,2,19,1,26
Japan,2/27/20,214,4,25,2,27
Japan,2/28/20,228,4,14,0,28
Japan,2/29/20,241,5,13,1,29
Japan,3/1/20,256,6,15,1,30
Japan,3/2/20,274,6,18,0,31
Japan,3/3/20,293,6,19,0,32
Japan,3/4/20,331,6,38,0,33
Japan,3/5/20,360,6,29,0,34
Japan,3/6/20,420,6,60,0,35
Japan,3/7/20,461,6,41,0,36
Japan,3/8/20,502,6,41,0,37
Japan,3/9/20,511,10,9,4,38
Japan,3/10/20,581,10,70,0,39
Japan,3/11/20,639,15,58,5,40
Japan,3/12/20,639,16,0,1,41
Japan,3/13/20,701,19,62,3,42
Japan,3/14/20,773,22,72,3,43
Japan,3/15/20,839,22,66,0,44
Japan,3/16/20,839,27,0,5,45
Japan,3/17/20,878,29,39,2,46
Japan,3/18/20,889,29,11,0,47
Japan,3/19/20,924,29,35,0,48
Japan,3/20/20,963,33,39,4,49
Japan,3/21/20,1007,35,44,2,50
Japan,3/22/20,1101,41,94,6,51
Japan,3/23/20,1128,42,27,1,52
Japan,3/24/20,1193,43,65,1,53
Japan,3/25/20,1307,45,114,2,54
Japan,3/26/20,1387,47,80,2,55
Japan,3/27/20,1468,49,81,2,56
Japan,3/28/20,1693,52,225,3,57
Japan,3/29/20,1866,54,173,2,58
Japan,3/30/20,1866,54,0,0,59
Japan,3/31/20,1953,56,87,2,60
Japan,4/1/20,2178,57,225,1,61
Japan,4/2/20,2495,62,317,5,62
Japan,4/3/20,2617,63,122,1,63
Japan,4/4/20,3139,77,522,14,64
Japan,4/5/20,3139,77,0,0,65
Japan,4/6/20,3654,85,515,8,66
Japan,4/7/20,3906,92,252,7,67
Japan,4/8/20,4257,93,351,1,68
Japan,4/9/20,4667,94,410,1,69
Japan,4/10/20,5530,99,863,5,70
Japan,4/11/20,6005,99,475,0,71
Japan,4/12/20,6748,108,743,9,72
Japan,4/13/20,7370,123,622,15,73
Japan,4/14/20,7645,143,275,20,74
Japan,4/15/20,8100,146,455,3,75
Japan,4/16/20,8626,178,526,32,76
Japan,4/17/20,9787,190,1161,12,77
Japan,4/18/20,10296,222,509,32,78
Japan,4/19/20,10797,236,501,14,79
Japan,4/20/20,10797,236,0,0,80
Japan,4/21/20,11135,263,338,27,81
Japan,4/22/20,11512,281,377,18,82
Japan,4/23/20,12368,328,856,47,83
Japan,4/24/20,12829,345,461,17,84
Japan,4/25/20,13231,360,402,15,85
Japan,4/26/20,13441,372,210,12,86
Japan,4/27/20,14153,385,712,13,87
Japan,4/28/20,13736,394,-417,9,88
Japan,4/29/20,13895,413,159,19,89
Japan,4/30/20,14088,430,193,17,90
Japan,5/1/20,14305,455,217,25,91
Japan,5/2/20,14571,474,266,19,92
Japan,5/3/20,14877,487,306,13,93
Japan,5/4/20,15078,536,201,49,94
