country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Uzbekistan,3/19/20,23,0,8,0,1
Uzbekistan,3/20/20,33,0,10,0,2
Uzbekistan,3/21/20,43,0,10,0,3
Uzbekistan,3/22/20,43,0,0,0,4
Uzbekistan,3/23/20,46,0,3,0,5
Uzbekistan,3/24/20,50,0,4,0,6
Uzbekistan,3/25/20,60,0,10,0,7
Uzbekistan,3/26/20,75,0,15,0,8
Uzbekistan,3/27/20,88,1,13,1,9
Uzbekistan,3/28/20,104,2,16,1,10
Uzbekistan,3/29/20,144,2,40,0,11
Uzbekistan,3/30/20,149,2,5,0,12
Uzbekistan,3/31/20,172,2,23,0,13
Uzbekistan,4/1/20,181,2,9,0,14
Uzbekistan,4/2/20,205,2,24,0,15
Uzbekistan,4/3/20,227,2,22,0,16
Uzbekistan,4/4/20,266,2,39,0,17
Uzbekistan,4/5/20,342,2,76,0,18
Uzbekistan,4/6/20,457,2,115,0,19
Uzbekistan,4/7/20,520,2,63,0,20
Uzbekistan,4/8/20,545,3,25,1,21
Uzbekistan,4/9/20,582,3,37,0,22
Uzbekistan,4/10/20,624,3,42,0,23
Uzbekistan,4/11/20,767,4,143,1,24
Uzbekistan,4/12/20,865,4,98,0,25
Uzbekistan,4/13/20,998,4,133,0,26
Uzbekistan,4/14/20,1165,4,167,0,27
Uzbekistan,4/15/20,1302,4,137,0,28
Uzbekistan,4/16/20,1349,4,47,0,29
Uzbekistan,4/17/20,1405,4,56,0,30
Uzbekistan,4/18/20,1490,5,85,1,31
Uzbekistan,4/19/20,1565,5,75,0,32
Uzbekistan,4/20/20,1627,5,62,0,33
Uzbekistan,4/21/20,1678,6,51,1,34
Uzbekistan,4/22/20,1716,7,38,1,35
Uzbekistan,4/23/20,1758,7,42,0,36
Uzbekistan,4/24/20,1804,8,46,1,37
Uzbekistan,4/25/20,1862,8,58,0,38
Uzbekistan,4/26/20,1869,8,7,0,39
Uzbekistan,4/27/20,1904,8,35,0,40
Uzbekistan,4/28/20,1939,8,35,0,41
Uzbekistan,4/29/20,2002,9,63,1,42
Uzbekistan,4/30/20,2039,9,37,0,43
Uzbekistan,5/1/20,2086,9,47,0,44
Uzbekistan,5/2/20,2118,9,32,0,45
Uzbekistan,5/3/20,2149,10,31,1,46
Uzbekistan,5/4/20,2189,10,40,0,47
