state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Illinois,3/10/20,12,0,5,0,1
Illinois,3/11/20,25,0,13,0,2
Illinois,3/12/20,32,0,7,0,3
Illinois,3/13/20,46,0,14,0,4
Illinois,3/14/20,64,0,18,0,5
Illinois,3/15/20,66,0,2,0,6
Illinois,3/16/20,83,0,17,0,7
Illinois,3/17/20,161,1,78,1,8
Illinois,3/18/20,272,1,111,0,9
Illinois,3/19/20,422,4,150,3,10
Illinois,3/20/20,585,5,163,1,11
Illinois,3/21/20,753,6,168,1,12
Illinois,3/22/20,1049,9,296,3,13
Illinois,3/23/20,1285,12,236,3,14
Illinois,3/24/20,1537,16,252,4,15
Illinois,3/25/20,1865,19,328,3,16
Illinois,3/26/20,2538,26,673,7,17
Illinois,3/27/20,3024,34,486,8,18
Illinois,3/28/20,3491,47,467,13,19
Illinois,3/29/20,4596,66,1105,19,20
Illinois,3/30/20,5056,73,460,7,21
Illinois,3/31/20,5994,99,938,26,22
Illinois,4/1/20,6980,141,986,42,23
Illinois,4/2/20,7695,163,715,22,24
Illinois,4/3/20,8904,210,1209,47,25
Illinois,4/4/20,10357,244,1453,34,26
Illinois,4/5/20,11259,274,902,30,27
Illinois,4/6/20,12262,307,1003,33,28
Illinois,4/7/20,13553,380,1291,73,29
Illinois,4/8/20,15078,462,1525,82,30
Illinois,4/9/20,16422,528,1344,66,31
Illinois,4/10/20,17887,597,1465,69,32
Illinois,4/11/20,19180,677,1293,80,33
Illinois,4/12/20,20852,720,1672,43,34
Illinois,4/13/20,22025,798,1173,78,35
Illinois,4/14/20,23248,868,1223,70,36
Illinois,4/15/20,24593,949,1345,81,37
Illinois,4/16/20,25734,1072,1141,123,38
Illinois,4/17/20,27578,1132,1844,60,39
Illinois,4/18/20,29160,1259,1582,127,40
Illinois,4/19/20,30357,1290,1197,31,41
Illinois,4/20/20,31513,1349,1156,59,42
Illinois,4/21/20,33059,1468,1546,119,43
Illinois,4/22/20,35107,1565,2048,97,44
Illinois,4/23/20,36937,1688,1830,123,45
Illinois,4/24/20,39658,1795,2721,107,46
Illinois,4/25/20,41777,1875,2119,80,47
Illinois,4/26/20,43903,1933,2126,58,48
Illinois,4/27/20,45883,1983,1980,50,49
Illinois,4/28/20,48102,2125,2219,142,50
Illinois,4/29/20,50358,2215,2256,90,51
Illinois,4/30/20,52918,2355,2560,140,52
Illinois,5/1/20,56055,2457,3137,102,53
Illinois,5/2/20,58505,2559,2450,102,54
Illinois,5/3/20,61499,2618,2994,59,55
Illinois,5/4/20,63777,2659,2278,41,56
