country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Azerbaijan,3/15/20,23,1,8,0,1
Azerbaijan,3/16/20,28,1,5,0,2
Azerbaijan,3/17/20,28,1,0,0,3
Azerbaijan,3/18/20,28,1,0,0,4
Azerbaijan,3/19/20,44,1,16,0,5
Azerbaijan,3/20/20,44,1,0,0,6
Azerbaijan,3/21/20,53,1,9,0,7
Azerbaijan,3/22/20,65,1,12,0,8
Azerbaijan,3/23/20,72,1,7,0,9
Azerbaijan,3/24/20,87,1,15,0,10
Azerbaijan,3/25/20,93,2,6,1,11
Azerbaijan,3/26/20,122,3,29,1,12
Azerbaijan,3/27/20,165,3,43,0,13
Azerbaijan,3/28/20,182,4,17,1,14
Azerbaijan,3/29/20,209,4,27,0,15
Azerbaijan,3/30/20,273,4,64,0,16
Azerbaijan,3/31/20,298,5,25,1,17
Azerbaijan,4/1/20,359,5,61,0,18
Azerbaijan,4/2/20,400,5,41,0,19
Azerbaijan,4/3/20,443,5,43,0,20
Azerbaijan,4/4/20,521,5,78,0,21
Azerbaijan,4/5/20,584,7,63,2,22
Azerbaijan,4/6/20,641,7,57,0,23
Azerbaijan,4/7/20,717,8,76,1,24
Azerbaijan,4/8/20,822,8,105,0,25
Azerbaijan,4/9/20,926,9,104,1,26
Azerbaijan,4/10/20,991,10,65,1,27
Azerbaijan,4/11/20,1058,11,67,1,28
Azerbaijan,4/12/20,1098,11,40,0,29
Azerbaijan,4/13/20,1148,12,50,1,30
Azerbaijan,4/14/20,1197,13,49,1,31
Azerbaijan,4/15/20,1253,13,56,0,32
Azerbaijan,4/16/20,1283,15,30,2,33
Azerbaijan,4/17/20,1340,15,57,0,34
Azerbaijan,4/18/20,1373,18,33,3,35
Azerbaijan,4/19/20,1398,19,25,1,36
Azerbaijan,4/20/20,1436,19,38,0,37
Azerbaijan,4/21/20,1480,20,44,1,38
Azerbaijan,4/22/20,1518,20,38,0,39
Azerbaijan,4/23/20,1548,20,30,0,40
Azerbaijan,4/24/20,1592,21,44,1,41
Azerbaijan,4/25/20,1617,21,25,0,42
Azerbaijan,4/26/20,1645,21,28,0,43
Azerbaijan,4/27/20,1678,22,33,1,44
Azerbaijan,4/28/20,1717,22,39,0,45
Azerbaijan,4/29/20,1766,23,49,1,46
Azerbaijan,4/30/20,1804,24,38,1,47
Azerbaijan,5/1/20,1854,25,50,1,48
Azerbaijan,5/2/20,1894,25,40,0,49
Azerbaijan,5/3/20,1932,25,38,0,50
Azerbaijan,5/4/20,1984,26,52,1,51
Azerbaijan,5/5/20,2060,26,76,0,52
Azerbaijan,5/6/20,2127,28,67,2,53
Azerbaijan,5/7/20,2204,28,77,0,54
Azerbaijan,5/8/20,2279,28,75,0,55
Azerbaijan,5/9/20,2422,31,143,3,56
Azerbaijan,5/10/20,2519,32,97,1,57
Azerbaijan,5/11/20,2589,32,70,0,58
Azerbaijan,5/12/20,2693,33,104,1,59
Azerbaijan,5/13/20,2758,35,65,2,60
Azerbaijan,5/14/20,2879,35,121,0,61
Azerbaijan,5/15/20,2980,36,101,1,62
Azerbaijan,5/16/20,3138,36,158,0,63
Azerbaijan,5/17/20,3274,39,136,3,64
Azerbaijan,5/18/20,3387,40,113,1,65
Azerbaijan,5/19/20,3518,41,131,1,66
Azerbaijan,5/20/20,3631,43,113,2,67
Azerbaijan,5/21/20,3749,44,118,1,68
Azerbaijan,5/22/20,3855,46,106,2,69
Azerbaijan,5/23/20,3982,49,127,3,70
Azerbaijan,5/24/20,4122,49,140,0,71
Azerbaijan,5/25/20,4271,51,149,2,72
Azerbaijan,5/26/20,4403,52,132,1,73
Azerbaijan,5/27/20,4568,54,165,2,74
Azerbaijan,5/28/20,4759,56,191,2,75
Azerbaijan,5/29/20,4989,58,230,2,76
Azerbaijan,5/30/20,5246,61,257,3,77
Azerbaijan,5/31/20,5494,63,248,2,78
Azerbaijan,6/1/20,5662,68,168,5,79
Azerbaijan,6/2/20,5935,71,273,3,80
Azerbaijan,6/3/20,6260,76,325,5,81
Azerbaijan,6/4/20,6522,78,262,2,82
Azerbaijan,6/5/20,6860,82,338,4,83
Azerbaijan,6/6/20,7239,84,379,2,84
Azerbaijan,6/7/20,7553,88,314,4,85
